Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
Propanoate (Propionate)	Consumption (import) & production (export)	Desulfobulbus propionicus	[288,291,318,318,223]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio aespoeensis	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio desulfuricans	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio fructosovorans	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio magneticus	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio piger	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio salexigens	[106]
Propanoate (Propionate)	Consumption (import)	Desulfovibrio vulgaris	[106]
Propanoate (Propionate)	Production (export)	Dialister invisus	[80]
Propanoate (Propionate)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[195]
Propanoate (Propionate)	Production (export)	Eubacterium rectale	[184]
Propanoate (Propionate)	Production (export)	Faecalibacterium prausnitzii	[184]
Propanoate (Propionate)	Production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)	[198]
Propanoate (Propionate)	Consumption (import)	Geobacter metallireducens	[186]
Propanoate (Propionate)	Production (export)	Megamonas hypermegale	[277]
Propanoate (Propionate)	Production (export)	Megasphaera micronuciformis	[85]
Propanoate (Propionate)	Production (export)	Odoribacter splanchnicus	[107]
Propanoate (Propionate)	Production (export)	Pelobacter propionicus	[288,289,318]
Propanoate (Propionate)	Consumption (import)	Pelotomaculum thermopropionicum	[135,162,219,302]
Propanoate (Propionate)	Production (export)	Porphyromonas asaccharolytica	[306]
Propanoate (Propionate)	Production (export)	Prevotella amnii	[185]
Propanoate (Propionate)	Production (export)	Prevotella bergensis	[185]
Propanoate (Propionate)	Production (export)	Prevotella bivia	[185]
Propanoate (Propionate)	Production (export)	Prevotella bryantii	[185]
Propanoate (Propionate)	Production (export)	Prevotella buccae	[185]
Propanoate (Propionate)	Production (export)	Prevotella buccalis	[185]
Propanoate (Propionate)	Production (export)	Prevotella copri	[185]
Propanoate (Propionate)	Production (export)	Prevotella disiens	[185]
Propanoate (Propionate)	Production (export)	Prevotella marshii	[185]
Propanoate (Propionate)	Production (export)	Prevotella melaninogenica (Bacteroides melaninogenicus)	[185]
Propanoate (Propionate)	Production (export)	Prevotella multiformis	[185]
Propanoate (Propionate)	Production (export)	Prevotella oralis	[185]
Propanoate (Propionate)	Production (export)	Prevotella oris	[185]
Propanoate (Propionate)	Consumption (import) & production (export)	Prevotella ruminicola (Bacteroides ruminicola)	[244,288,323,185]
Propanoate (Propionate)	Production (export)	Prevotella salivae	[185]
Propanoate (Propionate)	Production (export)	Prevotella tannerae	[185]
Propanoate (Propionate)	Production (export)	Prevotella timonensis	[185]
Propanoate (Propionate)	Production (export)	Prevotella veroralis	[185]
Propanoate (Propionate)	Production (export)	Propionibacterium acnes	[Supplementary Data 2d,145,197,316]
Propanoate (Propionate)	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[163,145,197,316]
Propanoate (Propionate)	Production (export)	Pyramidobacter piscolens	[79]
Propanoate (Propionate)	Production (export)	Roseburia intestinalis	[184]
Propanoate (Propionate)	Production (export)	Roseburia inulinivorans	[95,184,253,184]
Propanoate (Propionate)	Production (export)	Ruminococcus obeum	[253]
Propanoate (Propionate)	Production (export)	Salmonella enterica	[253]
Propanoate (Propionate)	Production (export)	Selenomonas artemidis	[85,197]
Propanoate (Propionate)	Production (export)	Selenomonas flueggei	[85,197]
Propanoate (Propionate)	Production (export)	Selenomonas noxia	[85,197]
Propanoate (Propionate)	Production (export)	Selenomonas sputigena	[85,197]
Propanoate (Propionate)	Consumption (import)	Syntrophobacter fumaroxidans	[31,135,162,219,302,302,319]
Propanoate (Propionate)	Consumption (import)	Syntrophobotulus glycolicus	[302]
Propanoate (Propionate)	Consumption (import) & production (export)	Syntrophomonas wolfei	[31,162,302,321,367]
Propanoate (Propionate)	Consumption (import)	Syntrophothermus lipocalidus	[302]
Propanoate (Propionate)	Consumption (import)	Syntrophus aciditrophicus	[162,302]
Propanoate (Propionate)	Production (export)	Veillonella atypica	[19,85]
Propanoate (Propionate)	Production (export)	Veillonella dispar	[19,85]
Propanoate (Propionate)	Production (export)	Veillonella parvula	[187,229,19,85]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Bilophila wadsworthia	[169]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Clostridium kluyveri	[294]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Geobacter metallireducens	[186]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Moorella thermoacetica	[81]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelobacter carbinolicus	[5]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelobacter propionicus	[289]
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelotomaculum thermopropionicum	[135,162]
Propanol (n-propanol, 1-Propanol)	Production (export)	Roseburia inulinivorans	[95,184]
Propanol (n-propanol, 1-Propanol)	Production (export)	Salmonella enterica	[253]
Putrescine	Production (export)	Bacteroides fragilis	[308]
Putrescine	Production (export)	Bacteroides ovatus	[308]
Putrescine	Production (export)	Bacteroides thetaiotaomicron	[118]
Putrescine	Production (export)	Campylobacter jejuni	[230]
Putrescine	Production (export)	Clostridium saccharolyticum	[230]
Putrescine	Consumption (import)	Colonocyte (host colon)	[336]
Putrescine	Production (export)	Enterobacter cloacae	[243]
Putrescine	Production (export)	Escherichia coli	[243,308]
Putrescine	Production (export)	Lactobacillus acidophilus	[308]
Putrescine	Consumption (import)	Pseudomonas aeruginosa	[53]
Putrescine	Production (export)	Sulfolobus solfataricus	[284]
Putrescine	Production (export)	Thermococcus kodakaraensis	[284]
Putrescine	Production (export)	Thermus thermophilus	[284]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bacillus subtilis	[300]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Baumannia cicadellinicola	[207,368]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium adolescentis	[267]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium bifidum	[267]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium breve	[267]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[174,267]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Clostridium tetani	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Colonocyte (host colon)	[336]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Ensifer meliloti (Sinorhizobium meliloti)	[300]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)	[220,220]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Escherichia coli	[220]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactobacillus casei	[220,242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactobacillus delbrueckii	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Lactobacillus helveticus	[173,174]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactococcus lactis	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Leuconostoc mesenteroides	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Neisseria gonorrhoeae	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Paenibacillus larvae	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Ruminococcus albus	[121]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Ruminococcus bromii	[121]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Shigella sonnei	[242]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Sphaerobacter thermophilus	[173]
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Streptococcus thermophilus	[174]
Pyruvate	Consumption (import)	Acetohalobium arabaticum	[233]
Pyruvate	Consumption (import)	Aeromicrobium marinum	[36]
Pyruvate	Consumption (import)	Anaerotruncus colihominis	[170]
Pyruvate	Production (export)	Bacteroides thetaiotaomicron	[118]
Pyruvate	Consumption (import)	Bilophila wadsworthia	[169,304]
Pyruvate	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Pyruvate	Consumption (import)	Clostridium acetobutylicum	[278]
Pyruvate	Production (export)	Clostridium cellulolyticum	[278]
Pyruvate	Consumption (import)	Colonocyte (host colon)	[336]
Pyruvate	Consumption (import)	Desulfovibrio aespoeensis	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio desulfuricans	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio fructosovorans	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio magneticus	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio piger	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio salexigens	[106,321]
Pyruvate	Consumption (import)	Desulfovibrio vulgaris	[157,106,321]
Pyruvate	Consumption (import)	Dorea formicigenerans	[333]
Pyruvate	Consumption (import)	Geobacter metallireducens	[186]
Pyruvate	Consumption (import)	Methanosarcina acetivorans	[318]
Pyruvate	Consumption (import)	Methanosarcina barkeri	[318]
Pyruvate	Consumption (import)	Methanosarcina mazei	[318]
Pyruvate	Consumption (import)	Moorella thermoacetica	[81]
Pyruvate	Consumption (import)	Pelobacter propionicus	[289]
Pyruvate	Consumption (import)	Pelotomaculum thermopropionicum	[135,162,219,302]
Pyruvate	Consumption (import)	Pyrococcus abyssi	[160]
Pyruvate	Consumption (import)	Pyrococcus furiosus	[160]
Pyruvate	Consumption (import)	Shewanella putrefaciens (Pseudomonas putrefaciens)	[186]
Pyruvate	Consumption (import)	Syntrophobacter fumaroxidans	[219,302]
Pyruvate	Consumption (import)	Veillonella parvula	[229]
Pyruvate	Consumption (import)	Xanthomonas campestris	[331]
Raffinose	Consumption (import)	Aeromonas hydrophila	[2]
Raffinose	Consumption (import)	Alistipes shahii	[310]
Raffinose	Consumption (import)	Anaerococcus hydrogenalis	[90]
Raffinose	Consumption (import)	Anaerococcus prevotii	[90]
Raffinose	Consumption (import)	Bacteroides fragilis	[104]
Raffinose	Consumption (import)	Bacteroides thetaiotaomicron	[104]
Raffinose	Consumption (import)	Bacteroides xylanisolvens	[44]
Raffinose	Consumption (import)	Bifidobacterium adolescentis	[104]
Raffinose	Consumption (import)	Bifidobacterium angulatum	[104]
Raffinose	Consumption (import)	Bifidobacterium animalis	[104]
Raffinose	Consumption (import)	Bifidobacterium bifidum	[104,104]
Raffinose	Consumption (import)	Bifidobacterium breve	[104]
Raffinose	Consumption (import)	Bifidobacterium catenulatum	[104]
Raffinose	Consumption (import)	Bifidobacterium dentium	[104]
Raffinose	Consumption (import)	Bifidobacterium gallicum	[104]
Raffinose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[104,104,104]
Raffinose	Consumption (import)	Bifidobacterium pseudocatenulatum	[104]
Raffinose	Consumption (import)	Blautia hansenii	[181]
Raffinose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Raffinose	Consumption (import)	Butyrivibrio fibrisolvens	[217]
Raffinose	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Raffinose	Consumption (import)	Clostridium difficile	[335]
Raffinose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145]
Raffinose	Consumption (import)	Coprococcus comes	[124]
Raffinose	Consumption (import)	Coprococcus eutactus	[124]
Raffinose	Consumption (import)	Eubacterium rectale	[301]
Raffinose	Consumption (import)	Holdemania filiformis	[358]
Raffinose	Consumption (import)	Klebsiella pneumoniae	[178]
Raffinose	Consumption (import)	Lactobacillus acidophilus	[104]
Raffinose	Consumption (import)	Leptotrichia buccalis	[87]
Raffinose	Consumption (import)	Marvinbryantia formatexigens	[256]
Raffinose	Consumption (import)	Megamonas hypermegale	[277]
Raffinose	Consumption (import)	Parabacteroides distasonis	[276]
Raffinose	Consumption (import)	Parabacteroides merdae	[276]
Raffinose	Consumption (import)	Prevotella copri	[116]
Raffinose	Consumption (import)	Roseburia intestinalis	[83]
Raffinose	Consumption (import)	Ruminococcus obeum	[181]
Raffinose	Consumption (import)	Subdoligranulum variabile	[128]
Retinoate	Consumption (import)	Colonocyte (host colon)	[336]
Retinol (Vitamin A)	Consumption (import)	Colonocyte (host colon)	[336]
Ribitol	Consumption (import)	Colonocyte (host colon)	[336]
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Bacillus subtilis	[25,122,174,260,300]
Riboflavin (Vitamin B2)	Production (export)	Baumannia cicadellinicola	[207,368]
Riboflavin (Vitamin B2)	Consumption (import)	Bifidobacterium bifidum	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Buchnera aphidicola	[241]
Riboflavin (Vitamin B2)	Consumption (import)	Clostridium tetani	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Colonocyte (host colon)	[336]
Riboflavin (Vitamin B2)	Consumption (import)	Erysipelothrix rhusiopathiae	[242]
Riboflavin (Vitamin B2)	Production (export)	Escherichia coli	[39,174,362]
Riboflavin (Vitamin B2)	Consumption (import)	Faecalibacterium prausnitzii	[344]
Riboflavin (Vitamin B2)	Production (export)	Klebsiella pneumoniae	[362]
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus acidophilus	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus casei	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus delbrueckii	[242]
Riboflavin (Vitamin B2)	Production (export)	Lactobacillus fermentum	[173]
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus helveticus	[242]
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Lactobacillus plantarum	[173,242]
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Lactococcus lactis	[173,242,260]
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Leuconostoc mesenteroides	[173,242]
Riboflavin (Vitamin B2)	Consumption (import)	Listeria monocytogenes	[242]
Riboflavin (Vitamin B2)	Production (export)	Methanocaldococcus jannaschii	[93]
Riboflavin (Vitamin B2)	Consumption (import)	Paenibacillus larvae	[242]
Riboflavin (Vitamin B2)	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[173]
Riboflavin (Vitamin B2)	Consumption (import)	Ruminococcus bromii	[121]
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus pyogenes	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus salivarius	[242]
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus thermophilus	[242]
Shikimate	Consumption (import)	Bacillus megaterium	[22]
Spermidine	Production (export)	Bacteroides thetaiotaomicron	[118]
Spermidine	Consumption (import) & production (export)	Campylobacter jejuni	[114,230]
Spermidine	Production (export)	Clostridium saccharolyticum	[230]
Spermidine	Consumption (import)	Colonocyte (host colon)	[336]
Spermidine	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[244]
Spermidine	Production (export)	Thermococcus kodakaraensis	[284]
Spermidine	Production (export)	Thermus thermophilus	[284]
Spermine	Production (export)	Campylobacter jejuni	[230]
Spermine	Production (export)	Clostridium saccharolyticum	[230]
Spermine	Consumption (import)	Colonocyte (host colon)	[336]
Stachyose	Consumption (import)	Clostridium difficile	[335]
Stachyose	Consumption (import)	Klebsiella pneumoniae	[178]
Stachyose	Consumption (import)	Marvinbryantia formatexigens	[364]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides eggerthii	[279]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides fragilis	[96,198,279]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides ovatus	[44,96,161,198,204,279]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides thetaiotaomicron	[11,44,95,96,118,161,198,199,204,256,279,311,371]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides vulgatus	[198,279]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium adolescentis	[18,62,85,94,95,96,280,371]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium angulatum	[62]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium animalis	[62]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium bifidum	[18,62]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium breve	[62,95,247,280]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium catenulatum	[62]
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium dentium	[62]
